,str_sub.a.3...2..3.
1,TX
2,Po
3,TX
4,Po
5,Ca
6,TX
7,Po
8,Ca
9,AB
10,FL
11,FL
12,FL
13,CA
14,Ne
15,TX
16,KS
17,AZ
18,OK
19,FL
20,MI
21,CA
22,MN
23,TN
24,CA
25,CA
26,TX
27,OK
28,AZ
29,FL
30,FL
31,IN
32,OK
33,MI
34,PA
35,TX
36,AR
37,ON
38,TX
39,Ne
40,FL
41,FL
42,FL
43,CA
44,To
45,NY
46,KS
47,NC
48,Se
49,IN
50,FL
51,TX
52,NC
53,IL
54,ID
55,KS
56,Un
57,TX
58,NE
59,WV
60,Au
61,UK
62,MS
63,NC
64,MA
65,KS
66,CA
67,IN
68,KY
69,SC
70,ON
71,Ne
72,LA
73,CA
74,TX
75,NS
76,IL
77,TX
78,CA
79,OK
80,IA
81,SC
82,TX
83,TX
84,AZ
85,Se
86,LA
87,Ne
88,AL
89,FL
90,Se
91,KS
92,IL
93,Ne
94,ID
95,WA
96,WA
97,WA
98,WA
99,WA
100,WA
101,WA
102,WA
103,IN
104,MI
105,NY
106,LA
107,25
108,CA
109,US
110,OK
111,AB
112,KS
113,TX
114,CO
115,WA
116,WA
117,Au
118,KS
119,OK
120,FL
121,GA
122,Pa
123,TX
124,Au
125,KS
126,IN
127,MI
128,NC
129,NY
130,AB
131,TX
132,PA
133,CA
134,GA
135,ME
136,NJ
137,PA
138,SC
139,VA
140,MI
141,KY
142,ON
143,NY
144,GA
145,QC
146,CT
147,TX
148,OK
149,IN
150,TX
151,CA
152,AB
153,TX
154,CT
155,NM
156,NA
157,VA
158,FL
159,KS
160,TX
161,CA
162,Ne
163,Ho
164,OH
165,KS
166,NE
167,Be
168,IA
169,TX
170,MO
171,TN
172,CA
173,NJ
174,KS
175,MN
176,TX
177,OH
178,PA
179,KS
180,IA
181,NC
182,Se
183,FL
184,AL
185,GA
186,Sw
187,FL
188,MS
189,CA
190,TN
191,Un
192,CA
193,PA
194,IL
195,PA
196,NA
197,CO
198,MS
199,Co
200,IL
201,NY
202,NY
203,VA
204,NA
205,MS
206,SC
207,OH
208,TN
209,AZ
210,CA
211,MI
212,TN
213,GA
214,WI
215,FL
216,OK
217,Se
218,CA
219,ON
220,CA
221,Ne
222,CA
223,CA
224,WA
225,TN
226,NJ
227,WA
228,NC
229,TX
230,TN
231,St
232,To
233,NC
234,OR
235,OH
236,IL
237,OH
238,TX
239,FL
240,IL
241,NC
242,Se
243,NJ
244,Be
245,MO
246,FL
247,PA
248,TX
249,AL
250,NM
251,NC
252,Se
253,VA
254,33
255,CA
256,CA
257,LA
258,IN
259,MI
260,AR
261,CA
262,TN
263,DC
264,KY
265,VA
266,TX
267,UK
268,MA
269,MI
270,DC
271,NC
272,MN
273,MN
274,DC
275,TN
276,IL
277,OK
278,NC
279,CA
280,TX
281,NE
282,IL
283,KS
284,SC
285,TN
286,UK
287,AL
288,GA
289,Ka
290,MI
291,MI
292,KS
293,PA
294,GA
295,WA
296,OH
297,VA
298,SC
299,SC
300,KS
301,MS
302,TX
303,OK
304,KY
305,OR
306,WA
307,SC
308,LA
309,MD
310,Ri
311,VA
312,MD
313,OK
314,Ne
315,IL
316,NY
317,PA
318,KS
319,TX
320,WI
321,AR
322,KS
323,IN
324,FL
325,Un
326,PA
327,MS
328,CA
329,MD
330,FL
331,Un
332,FL
333,GA
334,LA
335,CT
336,TX
337,MI
338,TN
339,KS
340,AB
341,TX
342,CA
343,KY
344,NY
345,CA
346,IA
347,FL
348,OK
349,OR
350,Un
351,OH
352,CA
353,Ne
354,Se
355,ON
356,IN
357,ME
358,KS
359,VA
360,NY
361,CA
362,Ne
363,MS
364,TN
365,DC
366,MO
367,To
368,TN
369,SC
370,KS
371,Ne
372,TN
373,Ne
374,NC
375,VA
376,DC
377,CA
378,OH
379,CT
380,CA
381,ON
382,PA
383,PA
384,KS
385,KS
386,PA
387,FL
388,FL
389,MO
390,WI
391,GA
392,TN
393,IL
394,TN
395,Na
396,NC
397,Ko
398,SC
399,CO
400,PA
401,PA
402,TX
403,ON
404,FL
405,LA
406,CA
407,WA
408,Se
409,CO
410,IN
411,OK
412,CA
413,FL
414,OH
415,TX
416,TX
417,IA
418,ND
419,OK
420,MO
421,MO
422,TN
423,Ca
424,OH
425,TX
426,CA
427,ME
428,To
429,NY
430,NC
431,NC
432,AR
433,St
434,K.
435,NC
436,Sh
437,CO
438,KS
439,NV
440,Ne
441,MD
442,NV
443,WV
444,IN
445,CA
446,IN
447,KY
448,23
449,IL
450,GA
451,FL
452,MN
453,CO
454,Go
455,MS
456,IN
457,NV
458,NM
459,CA
460,MD
461,PA
462,Na
463,MA
464,Se
465,NC
466,FL
467,OK
468,KS
469,CT
470,0
471,TX
472,IL
473,NJ
474,AR
475,NC
476,DC
477,NY
478,MO
479,WI
480,OK
481,NJ
482,Gh
483,GA
484,MI
485,TX
486,KS
487,Gu
488,TX
489,FL
490,DE
491,KS
492,NC
493,KS
494,FL
495,NC
496,KS
497,NY
498,PA
499,WY
500,Bo
501,TX
502,Au
503,CA
504,OK
505,Ne
506,CA
507,MI
508,TX
509,RI
510,UT
511,TX
512,LA
513,OK
514,NY
515,NA
516,CA
517,CA
518,CA
519,VA
520,US
521,MI
522,GA
523,WI
524,TX
525,FL
526,MD
527,KS
528,AZ
529,Ne
530,MN
531,Ne
532,23
533,MT
534,IL
535,IL
536,Ne
537,To
538,FL
539,TX
540,KY
541,IL
542,To
543,MN
544,MD
545,KS
546,KS
547,MO
548,CA
549,SC
550,OK
551,CA
552,PA
553,Se
554,SD
555,Ne
556,OK
557,AK
558,Ne
559,Ca
560,Au
561,PA
562,OK
563,TX
564,PA
565,FL
566,IL
567,CA
568,CA
569,KY
570,CT
571,WI
572,AB
573,VA
574,LA
575,KS
576,OH
577,Ja
578,AZ
579,UK
580,TN
581,FL
582,NY
583,CA
584,OH
585,NC
586,TN
587,PA
588,FL
589,LA
590,FL
591,Se
592,KS
593,OK
594,VA
595,CA
596,IL
597,AB
598,Au
599,CA
600,CA
601,TN
602,NJ
603,MD
604,AZ
605,TX
606,MN
607,FL
608,DC
609,CA
610,PA
611,CA
612,KS
613,CA
614,FL
615,TX
616,CA
617,VT
618,KS
619,CA
620,FL
621,Ne
622,CA
623,AB
624,NJ
625,KY
626,LA
627,IL
628,TX
629,AL
630,OK
631,AR
632,NJ
633,AR
634,NY
635,FL
636,IL
637,IL
638,NM
639,IL
640,IL
641,OK
642,KS
643,FL
644,KS
